file,info,label,f0
contour_618_6_2,Incredulity,Yes/No Rise,"[-3.3771517276763916, 4.2347941398620605, 8.029875755310059, 9.067051887512207, 11.817760467529297, 20.118335723876953, 23.572174072265625, 23.572174072265625, 23.572174072265625, 23.572174072265625, -125.97813415527344, -124.9430160522461, -124.9430160522461, -123.21611022949219, -114.2525405883789, -5.785485744476318, 73.65283966064453, 128.91433715820312, 142.72975158691406, 142.72975158691406]"
contour_930_5_2,Incredulity,Yes/No Rise,"[49.10314178466797, 58.10908508300781, 74.32551574707031, 94.76915740966797, 116.11148071289062, 151.35243225097656, 163.7893524169922, 172.76010131835938, 184.50726318359375, 189.6776885986328, 6.975622177124023, 3.521807909011841, 3.521807909011841, 3.521807909011841, 17.33715057373047, 132.35108947753906, 149.62203979492188, 165.85238647460938, 182.0882110595703, 188.30233764648438]"
contour_930_6_1,Contradiction,Fall,"[-34.825469970703125, -38.957725524902344, -39.6512565612793, -39.6512565612793, -39.6512565612793, 72.25391387939453, 79.50626373291016, 81.23318481445312, 73.98426818847656, 49.76553726196289, 3.521807909011841, 19.0640926361084, 27.698686599731445, 22.517929077148438, 3.521807909011841, -115.63572692871094, -76.60629272460938, -65.55503845214844, -40.686370849609375, -34.47050476074219]"
contour_930_7_1,Contradiction,Fall,"[1.79487144947052, 1.79487144947052, 5.24871826171875, 13.883317947387695, 30.942440032958984, 139.94851684570312, 148.58311462402344, 145.12928771972656, 136.49468994140625, 112.3177261352539, 11.815146446228027, 30.11911392211914, 57.05635070800781, 75.70772552490234, 73.98426818847656, -100.09342956542969, -115.63572692871094, -113.9088134765625, -107.00112915039062, -101.82035827636719]"
contour_930_7_3,Implication,RFR,"[-11.684852600097656, -7.527764797210693, -3.385899543762207, -1.3146177530288696, 0.7443469762802124, 16.302045822143555, 20.791032791137695, 22.517929077148438, 20.791032791137695, 13.521289825439453, -68.31709289550781, -69.00890350341797, -55.19349670410156, -18.23465347290039, -1.3042796850204468, -34.80659866333008, -48.630523681640625, -56.92045211791992, -58.64737319946289, -54.15632629394531]"
contour_1072_5_2,Incredulity,Yes/No Rise,"[7.403550148010254, 19.49197769165039, 35.034278869628906, 50.57661056518555, 64.25686645507812, 95.82254028320312, 98.9302978515625, 100.65723419189453, 102.38414001464844, 99.26947784423828, -31.96952247619629, -33.3507194519043, -27.13487434387207, -23.681049346923828, -39.91133117675781, -142.146728515625, -132.13095092773438, -123.84242248535156, -118.66165161132812, -113.48088836669922]"
contour_1072_5_3,Implication,RFR,"[-1.231042504310608, 2.222787380218506, 9.130491256713867, 14.311258316040039, 21.184803009033203, 30.199609756469727, 30.545339584350586, 29.853532791137695, 29.853532791137695, 29.853532791137695, -48.54766845703125, -51.311763763427734, -46.13100814819336, -41.29494857788086, -22.607744216918945, -70.99593353271484, -75.48866271972656, -75.48866271972656, -73.0699462890625, -54.409244537353516]"
contour_1072_6_2,Incredulity,Yes/No Rise,"[-12.63113784790039, -14.700361251831055, -13.31950569152832, -9.178998947143555, -5.0874199867248535, -1.231042504310608, 10.857391357421875, 26.399690628051758, 38.4881477355957, 48.849666595458984, -99.31947326660156, -96.90143585205078, -92.75784301757812, -88.61221313476562, -78.30680084228516, 1.1928163766860962, 37.81392288208008, 78.2072982788086, 98.24056243896484, 100.65723419189453]"
contour_1072_6_3,Implication,RFR,"[-53.038692474365234, -56.49250411987305, -68.58099365234375, -75.48866271972656, -75.48866271972656, -15.04643726348877, -6.411796569824219, -1.231042504310608, 2.222787380218506, 2.222787380218506, -64.77762603759766, -64.78106689453125, -61.673274993896484, -46.81556701660156, -39.22330856323242, -107.9454345703125, -129.71119689941406, -92.75784301757812, -69.96184539794922, -63.40021896362305]"
contour_1072_7_1,Contradiction,Polarity Focus,"[128.28799438476562, 127.59825134277344, 121.38028717041016, 110.34454345703125, 99.08958435058594, 88.92518615722656, 113.10035705566406, 128.28799438476562, 136.2328643798828, 131.04689025878906, -52.001502990722656, -60.29104995727539, -68.58099365234375, -73.4156723022461, -78.25070190429688, -106.91790008544922, -110.02703857421875, -111.75396728515625, -111.72809600830078, 20.0939998626709]"
contour_1072_7_3,Implication,RFR,"[7.036282539367676, 13.281288146972656, 22.945852279663086, 33.28184509277344, 43.318214416503906, 81.66111755371094, 80.97138214111328, 78.2072982788086, 75.44523620605469, 72.66971588134766, 28.47612762451172, 22.60115623474121, 19.49197769165039, 14.657332420349121, 9.817079544067383, 3.265159845352173, 34.34455490112305, 40.21507263183594, 20.5291805267334, 16.038179397583008]"
contour_1094_5_2,Incredulity,Yes/No Rise,"[9.43095874786377, 9.43095874786377, 11.157869338989258, 18.065542221069336, 18.065542221069336, 16.338623046875, 15.648892402648926, 12.884774208068848, 9.43095874786377, -1.6255173683166504, -87.27660369873047, -94.18428039550781, -78.64201354980469, -70.00743103027344, -54.46516418457031, -161.53416442871094, -158.08033752441406, -154.62648010253906, -149.4457244873047, -142.53807067871094]"
contour_1094_6_2,Incredulity,Yes/No Rise,"[-20.273101806640625, -18.19977378845215, -16.472837448120117, -11.981851577758789, -9.231124877929688, -16.472837448120117, -18.19977378845215, -19.92668342590332, -25.452192306518555, -41.724979400634766, -114.90734100341797, -116.63427734375, -116.63427734375, -112.8343505859375, -98.36703491210938, -9.565190315246582, 50.877037048339844, 75.05394744873047, 81.96158599853516, 76.78086853027344]"
contour_1094_6_3,Implication,Fall,"[11.157869338989258, 11.157869338989258, 9.43095874786377, 7.704043388366699, 4.9367876052856445, -18.54100799560547, -4.384433746337891, -4.384433746337891, -17.853696823120117, -38.56814193725586, -56.19207000732422, -53.08293533325195, -52.73823928833008, -54.46516418457031, -61.037147521972656, -161.53416442871094, -160.14334106445312, -80.36894226074219, -80.36894226074219, -78.64201354980469]"
contour_1094_7_1,Contradiction,Polarity Focus,"[28.42708396911621, 30.154014587402344, 31.880935668945312, 31.880935668945312, 28.766250610351562, 0.4516242742538452, 15.997382164001465, 26.70014762878418, 25.665040969848633, 15.650604248046875, -106.96247100830078, -113.18042755126953, -116.63427734375, -123.19586944580078, -134.93853759765625, -133.21163940429688, -131.83045959472656, -128.72268676757812, -123.88663482666016, -120.78301239013672]"
contour_1322_5_2,Incredulity,Yes/No Rise,"[12.564579010009766, 21.199182510375977, 33.2875862121582, 41.92219543457031, 45.36749267578125, 52.28371810913086, 48.829891204833984, 45.37604522705078, 34.3299560546875, 24.29094886779785, -44.07780838012695, -37.16668701171875, -28.881607055664062, -22.31513214111328, -14.027276992797852, 123.08747863769531, 124.81439971923828, 124.81439971923828, 126.54133605957031, 126.54133605957031]"
contour_1322_6_2,Incredulity,Yes/No Rise,"[-11.612351417541504, -11.612351417541504, -11.612351417541504, -11.612351417541504, -11.612351417541504, 3.9299566745758057, 5.656876087188721, 7.383788108825684, 3.5852608680725098, -12.687536239624023, -48.912818908691406, -45.80470657348633, -40.97001647949219, -30.25216293334961, -1.3522791862487793, 64.7217025756836, 76.11590576171875, 86.82213592529297, 95.45674896240234, 93.04008483886719]"
contour_1322_7_3,Implication,Other Fall,"[-2.9777348041534424, 12.564579010009766, 35.0145149230957, 57.46448516845703, 64.33809661865234, 78.53357696533203, 71.6293716430664, 64.37217712402344, 43.675010681152344, 4.914608955383301, 11.544920921325684, 42.61915588378906, 64.37217712402344, 73.00676727294922, 70.59012603759766, -75.50847625732422, -77.23536682128906, -77.23536682128906, -77.23536682128906, -77.23536682128906]"
contour_1451_5_3,Implication,RFR,"[12.471291542053223, 10.402099609375, 8.329080581665039, 6.25575590133667, 4.169940948486328, -10.667081832885742, -15.847826957702637, -19.30168342590332, -22.755489349365234, -33.19575119018555, 33.19954299926758, 57.03240203857422, 89.49440002441406, 107.45536804199219, 107.45710754394531, 54.955970764160156, 54.266231536865234, 58.4098014831543, 68.43009185791016, 81.8986587524414]"
contour_1451_6_1,Contradiction,Presumption Contour,"[-33.45315933227539, -19.989694595336914, -15.847826957702637, 156.01065063476562, 165.41763305664062, 59.45217514038086, 40.45087814331055, 25.59832000732422, 6.602173328399658, -17.2183780670166, -91.14059448242188, -93.55931854248047, -95.2862319946289, -95.2862319946289, -97.01312255859375, -59.365535736083984, -52.11318588256836, -57.29392623901367, -66.96367645263672, -76.29007720947266]"
contour_1451_6_3,Implication,Contradiction Contour,"[96.7515640258789, 106.41887664794922, 111.9443588256836, 119.19811248779297, 120.57894897460938, 89.83876037597656, 87.07772827148438, 84.31362915039062, 81.55156707763672, 78.77605438232422, -60.747779846191406, -74.56317901611328, -81.4708251953125, -83.19776916503906, -83.19776916503906, 59.44870376586914, 72.9169692993164, 77.40592956542969, 78.44310760498047, 79.13284301757812]"
contour_1471_5_1,Contradiction,Yes/No Rise,"[0.9768857955932617, -0.7500527501106262, -5.930785655975342, -11.111538887023926, -11.111538887023926, -8.692831993103027, -11.111538887023926, -12.838476181030273, -14.565400123596191, -14.565400123596191, -61.88196563720703, -68.09989166259766, -62.91915512084961, -54.6292610168457, -41.158912658691406, 37.93916702270508, 73.86227416992188, 95.9575424194336, 109.08316040039062, 122.55489349365234]"
contour_1471_6_1,Contradiction,Yes/No Rise,"[161.92657470703125, 163.3074188232422, 163.3074188232422, 162.61769104003906, 155.3385772705078, 7.53986120223999, 4.430702209472656, 4.430702209472656, 2.7037839889526367, -0.41086098551750183, -100.9113540649414, -104.36520385742188, -107.81903839111328, -106.0921401977539, -95.7305908203125, 27.923057556152344, 81.80609130859375, 137.40362548828125, 181.96224975585938, 201.29966735839844]"
contour_1471_6_2,Incredulity,Yes/No Rise,"[15.480618476867676, 13.411407470703125, 9.611477851867676, 5.462728977203369, 1.263666033744812, 14.792254447937012, 13.065333366394043, 14.792254447937012, 16.51917266845703, 16.51917266845703, -68.37932586669922, -57.73839569091797, -57.73839569091797, -54.28456497192383, -45.32606887817383, 58.3199577331543, 107.71166229248047, 163.3074188232422, 184.03041076660156, 184.03041076660156]"
contour_1471_7_3,Implication,Yes/No Rise,"[207.1722412109375, 212.0072479248047, 216.84197998046875, 216.84197998046875, 216.84197998046875, 188.52145385742188, 181.9588165283203, 173.6688995361328, 167.1073455810547, 159.49154663085938, -63.95253372192383, -75.69729614257812, -80.18832397460938, -76.7344970703125, -72.93456268310547, 14.792254447937012, 23.426862716674805, 33.78835678100586, 44.149925231933594, 57.830162048339844]"
contour_1543_5_3,Implication,Upstepped Fall,"[24.129865646362305, 26.89394760131836, 34.49138259887695, 54.9197998046875, 80.55519104003906, 103.56819915771484, 102.53307342529297, 100.11434173583984, 95.97078704833984, 94.93359375, 124.29126739501953, 141.56048583984375, 158.8297119140625, 167.46432495117188, 167.46432495117188, 31.387062072753906, 18.60441017150879, 5.133748531341553, -8.335559844970703, -19.38437271118164]"
contour_1543_6_2,Incredulity,Yes/No Rise,"[-55.30844497680664, -55.30844497680664, -58.76231002807617, -64.98856353759766, -71.3288345336914, -6.610365390777588, -10.059039115905762, -15.589305877685547, -32.446800231933594, -55.37997055053711, -96.7545394897461, -98.48145294189453, -98.48145294189453, -97.44255828857422, -84.72550201416016, -35.605064392089844, 27.940078735351562, 69.02976989746094, 110.82195281982422, 119.11051177978516]"
contour_1543_7_1,Contradiction,Polarity Focus,"[115.65665435791016, 117.38357543945312, 117.38357543945312, 115.65665435791016, 115.65665435791016, 224.45265197753906, 224.45265197753906, 219.27188110351562, 198.56597900390625, 161.78004455566406, -2.1186344623565674, -8.681632995605469, -8.681632995605469, 1.6798937320709229, 3.4068210124969482, -24.568592071533203, -31.131601333618164, -32.85850143432617, -34.58543395996094, -44.57660675048828]"
contour_1543_7_2,Incredulity,Yes/No Rise,"[-20.42568588256836, -23.87437629699707, -27.6777286529541, -28.36747169494629, -25.616701126098633, 17.222187042236328, 18.94910430908203, 18.94910430908203, 12.738372802734375, -5.595078468322754, -69.12381744384766, -70.85070037841797, -74.30457305908203, -76.03147888183594, -78.45156860351562, 49.34564208984375, 65.23471069335938, 84.5720443725586, 113.27609252929688, 152.26809692382812]"
contour_1543_7_3,Implication,Contradiction Contour,"[75.93744659423828, 75.93744659423828, 74.21053314208984, 70.75668334960938, 63.81425857543945, 4.789051055908203, -7.295955657958984, -22.496971130371094, -29.404672622680664, -35.61881637573242, -50.4724006652832, -53.58152389526367, -53.58152389526367, -51.854618072509766, -43.90803909301758, 21.709758758544922, 23.78516960144043, 27.58368492126465, 29.65499496459961, 31.713987350463867]"
contour_1617_6_1,Contradiction,Contradiction Contour,"[70.59490966796875, 76.1293716430664, 83.3782958984375, 92.72016143798828, 103.57804870605469, 189.75762939453125, 190.44735717773438, 188.72044372558594, 178.7152557373047, 142.58360290527344, -108.30986785888672, -108.30986785888672, -104.85604095458984, -102.43731689453125, -98.29991912841797, -51.92832946777344, 23.3063907623291, 48.83986282348633, 55.747554779052734, 55.747554779052734]"
contour_1619_5_2,Incredulity,No label,"[37.697357177734375, 43.927738189697266, 53.934593200683594, 63.959999084472656, 72.13931274414062, 107.81859588623047, 117.142578125, 121.284423828125, 120.93972778320312, 106.39386749267578, -11.342385292053223, -14.450461387634277, 0.39996787905693054, 13.525650024414062, 16.28837013244629, 90.19992065429688, 97.79939270019531, 105.74217224121094, 110.92288970947266, 116.44973754882812]"
contour_1619_6_1,Contradiction,No label,"[-25.850242614746094, -23.085092544555664, -20.323070526123047, -18.24662208557129, -12.769542694091797, 73.27677154541016, 77.42173767089844, 86.74605560302734, 100.26679229736328, 119.80534362792969, -40.00890350341797, -46.57155990600586, -51.407615661621094, -56.24232482910156, -61.08251190185547, -76.61961364746094, -48.63832092285156, 7.307705879211426, 49.79269790649414, 75.69480895996094]"
contour_1619_6_2,Incredulity,No label,"[34.938453674316406, 34.938453674316406, 36.665367126464844, 36.665367126464844, 36.665367126464844, 33.89987564086914, 31.83066177368164, 29.757659912109375, 25.60889434814453, 21.409812927246094, -53.824283599853516, -56.58839797973633, -56.58839797973633, -58.31529235839844, -62.80945587158203, -0.6196548938751221, 53.95170974731445, 112.64983367919922, 144.42791748046875, 158.24154663085938]"
contour_1619_7_1,Contradiction,No label,"[9.7281494140625, 18.018718719482422, 29.757659912109375, 49.80652618408203, 66.27083587646484, 157.54974365234375, 157.54974365234375, 157.54974365234375, 153.40097045898438, 149.20187377929688, -18.596128463745117, -25.503822326660156, -30.68459701538086, -34.1384391784668, -37.60091781616211, -80.76526641845703, -80.76526641845703, -80.76526641845703, -73.85758209228516, -51.407615661621094]"
contour_1619_7_2,Incredulity,No label,"[-12.034889221191406, -9.26972484588623, -6.5077009201049805, -3.7435896396636963, -0.9928756356239319, 26.303815841674805, 29.067920684814453, 31.484588623046875, 35.630252838134766, 39.76763153076172, 30.449464797973633, 23.196033477783203, 12.488472938537598, -0.2880469858646393, -9.625861167907715, -77.31140899658203, -72.82038879394531, -54.86146926879883, 10.787423133850098, 78.12860870361328]"
contour_1619_7_3,Implication,No label,"[-15.142253875732422, -13.41535758972168, -11.688464164733887, -9.961520195007324, -9.961520195007324, 31.484588623046875, 34.938453674316406, 36.665367126464844, 40.11918258666992, 43.564491271972656, 25.27042579650879, 12.837980270385742, 0.39996787905693054, -10.996652603149414, -18.942548751831055, -2.0166802406311035, -1.3269493579864502, -15.142253875732422, -32.41151428222656, -23.085092544555664]"
contour_1645_5_2,Incredulity,Yes/No Rise,"[-15.328317642211914, -16.70779037475586, -12.218855857849121, -5.647277355194092, 2.5320208072662354, 22.319570541381836, 23.35676383972168, 24.0465030670166, 21.629837036132812, 17.477930068969727, -146.91864013671875, -136.55709838867188, -110.65328979492188, -96.83794403076172, -83.02257537841797, 8.504158973693848, 8.504158973693848, 13.684943199157715, 18.865711212158203, 22.319570541381836]"
contour_1645_6_1,Contradiction,Contradiction Contour,"[46.83212661743164, 50.989166259765625, 55.13100814819336, 59.27151870727539, 63.363101959228516, 186.7265167236328, 182.57843017578125, 177.74234008789062, 166.69625854492188, 133.53221130371094, -166.2594757080078, -168.6768341064453, -169.36862182617188, -170.4037628173828, -163.17628479003906, -121.70455169677734, -75.75853729248047, -27.761144638061523, 7.123302936553955, 11.95801830291748]"
contour_1645_6_2,Incredulity,Yes/No Rise,"[18.891620635986328, 43.0599365234375, 56.857940673828125, 65.14785766601562, 69.9784164428711, 52.0010986328125, 45.811893463134766, 36.13496398925781, 19.48908805847168, 2.0023648738861084, -159.353515625, -156.58837890625, -150.3725128173828, -124.23731231689453, -85.38200378417969, 15.437753677368164, 74.82068634033203, 94.85016632080078, 98.30403137207031, 89.66941833496094]"
contour_1646_5_2,Incredulity,Yes/No Rise,"[-7.747597694396973, -7.747597694396973, -7.747597694396973, -0.8399088382720947, 9.44527530670166, -4.29376745223999, -6.020680904388428, -6.020680904388428, -7.747597694396973, -10.514857292175293, -145.55516052246094, -144.86404418945312, -132.08587646484375, -115.85179138183594, -106.8700942993164, 4.340871810913086, 7.794686794281006, 14.702383041381836, 25.06392478942871, 33.698516845703125]"
contour_1646_6_2,Incredulity,Yes/No Rise,"[26.79084587097168, 26.79084587097168, 26.79084587097168, 25.06392478942871, 21.601408004760742, -4.648725986480713, -8.781007766723633, -12.92837905883789, -19.154632568359375, -25.494901657104492, -76.82442474365234, -80.2782974243164, -82.00518798828125, -82.00518798828125, -64.8375015258789, 61.32927322387695, 106.2291259765625, 130.40603637695312, 133.85987854003906, 128.6790771484375]"
contour_1646_6_3,Implication,Upstepped Fall,"[-69.23011016845703, -75.43359375, -87.18596649169922, -102.70235443115234, -116.83612823486328, -94.09364318847656, -99.27438354492188, -104.45514678955078, -111.36283874511719, -121.80304718017578, -38.48267364501953, -30.542299270629883, -26.743724822998047, -28.815359115600586, -48.96903610229492, -167.3140106201172, -170.07810974121094, -154.53582763671875, -145.90122985839844, -147.62815856933594]"
contour_1646_7_2,Incredulity,Yes/No Rise,"[14.702383041381836, 14.702383041381836, 12.975454330444336, 14.01264476776123, 16.763391494750977, 38.879295349121094, 40.606197357177734, 38.879295349121094, 36.11724853515625, 21.938772201538086, -21.216869354248047, -21.562942504882812, -21.562942504882812, -21.562942504882812, -23.636302947998047, -132.08587646484375, -130.3589630126953, -114.8166732788086, -92.36670684814453, -52.64756774902344]"
contour_1646_7_3,Implication,RFR,"[29.204402923583984, 23.686525344848633, 18.156217575073242, 14.702383041381836, 14.702383041381836, -19.836023330688477, -35.37835693359375, -45.73985290527344, -56.10139465332031, -66.46293640136719, -38.83219909667969, -2.566836357116699, 26.79084587097168, 45.78697967529297, 85.506103515625, -83.73210906982422, -92.36670684814453, -87.18596649169922, -71.64366912841797, -49.19370651245117]"
contour_1647_5_1,Contradiction,Contradiction Contour,"[0.8031399846076965, 4.948075771331787, 9.091654777526855, 16.69113540649414, 23.91858673095703, 52.61069869995117, 56.75566864013672, 57.445411682128906, 55.02873229980469, 50.87686538696289, -34.081356048583984, -35.80828857421875, -32.35444259643555, -28.900590896606445, -25.44675064086914, -2.9968156814575195, 0.4570642113685608, 2.1839945316314697, 3.910888671875, 12.545499801635742]"
contour_1647_5_2,Incredulity,Yes/No Rise,"[21.180091857910156, 22.906984329223633, 26.3608341217041, 28.779560089111328, 32.91702651977539, 45.35696029663086, 43.97610855102539, 41.903114318847656, 38.10460662841797, 32.57533645629883, -13.012228012084961, -5.413441181182861, 2.1839945316314697, 9.091654777526855, 18.765155792236328, 91.98384857177734, 91.98384857177734, 90.25694274902344, 90.25694274902344, 85.07615661621094]"
